店舗名,住所
景福宮,神奈川県足柄下郡箱根町仙石原74-1
大徳壽 関内本店,神奈川県横浜市中区羽衣町2-5-15
四代目 加藤牛,神奈川県横浜市金沢区泥亀2-8-18
名物ホルモン 七輪もつ焼き 鉄 二子新地,神奈川県川崎市高津区二子2-1-4
牛狩（モーカル）～MOCAL～,神奈川県藤沢市鵠沼石上1-5-15
よこづな,神奈川県横浜市青葉区美しが丘1-12-3
ひつじの王様,神奈川県横浜市西区岡野2-1-21-4
カルビの王国センター南店,神奈川県横浜市都筑区茅ヶ崎中央7-13
蔵のカルビ寒川店,神奈川県高座郡寒川町宮山120-5
横濱慶州苑,神奈川県横浜市港北区新横浜2-5-16
食肉卸直営・黒毛牛専門北条焼肉センター 小田原店,神奈川県小田原市栄町1-14-54
炭火・七輪 ホルモン焼 珍満,神奈川県大和市南林間2-10-9
牛角港北ニュータウンセンター南店,神奈川県横浜市都筑区茅ヶ崎南5-1-48
食彩和牛 しげ吉はなれ,神奈川県大和市大和東3-7-11
吉の二 名物塩だれホルモン 溝の口,神奈川県川崎市高津区溝口2-3-6
海老名食堂,神奈川県海老名市中央1-7-1
韓の台所京急川崎店,神奈川県川崎市川崎区駅前本町21-1
BBQ DAYS 新百合ヶ丘エルミロード店,神奈川県川崎市麻生区上麻生1-4-1
食彩和牛 しげ吉横浜元町店,神奈川県横浜市中区石川町1-15
ひょうたん石川町店,神奈川県横浜市中区石川町1-13-8
銘柄豚サムギョプサル韓国料理千ちゃん 川崎,神奈川県川崎市川崎区砂子2-3-12
牛雅,神奈川県横浜市青葉区青葉台1-15-4
溝の口ドカンドカン酒場溝口西口商店街店,神奈川県川崎市高津区溝口2-7-15
ボンちゃん ベトナム料理,神奈川県小田原市栄町2-7-34
隠れ家個室 茶き茶き溝の口,神奈川県川崎市高津区溝口1-12-10
かやらん仲町台店,神奈川県横浜市都筑区仲町台2-1-12
韓国家庭料理・韓国居酒屋 ハンアリ,神奈川県厚木市中町2-1-22
