店舗名,住所
ジンギスカン・エフ,神奈川県横浜市旭区鶴ケ峰2-22
とりぎゅたぶう,神奈川県横浜市南区宿町2-34
牛たん専門店 牛たん みやぎ そごう横浜店,神奈川県横浜市西区高島2-18-1
仙臺たんや 利久 コレットマーレみなとみらい店,神奈川県横浜市中区桜木町1-1-7
鉄板焼 REVEL,神奈川県川崎市多摩区登戸2085-1
もつ焼き良,神奈川県横浜市港北区綱島東3-5-58
炙り牛たん万イオンモール座間店,神奈川県座間市広野台2-10-4
グリルレストラン十邑,神奈川県足柄下郡箱根町強羅1300-8
厚木シロコロホルモン焼 千代乃 厚木ヴィラ店,神奈川県厚木市旭町3-15-14
仙台牛タンみなと 横浜西口駅前店,神奈川県横浜市西区北幸1-1-13
ジンギスカン・エフ,神奈川県横浜市旭区鶴ケ峰2-22
超ホルモン,神奈川県横浜市中区野毛町2-74-1
もつ焼 幸大 弘明寺店,神奈川県横浜市南区弘明寺町320-3
もつ焼き 幸太,神奈川県横浜市鶴見区鶴見中央4-20-3
牛たん専門店 牛たん みやぎ そごう横浜店,神奈川県横浜市西区高島2-18-1
仙臺たんや 利久 コレットマーレみなとみらい店,神奈川県横浜市中区桜木町1-1-7
利久食堂 ジ アウトレット湘南平塚店,神奈川県平塚市大神8-1-1
ねぎし アトレ川崎店,神奈川県川崎市川崎区駅前本町26-1
鉄板焼 禅,神奈川県足柄下郡箱根町塔ノ沢191
キリン横浜ビアホール,神奈川県横浜市鶴見区生麦1-17-1
鉄板処 TETSU -徹-,神奈川県横浜市戸塚区品濃町541-3
杉作,神奈川県川崎市幸区大宮町1310
ホルモン しろ 新丸子店,神奈川県川崎市中原区新丸子町740-2
鉄板焼 裕,神奈川県横浜市中区尾上町5-69
知喜多 横浜西口店,神奈川県横浜市西区北幸1-1-2
炭火焼 旬彩だるま,神奈川県横浜市中区常盤町3-34-5
鉄板焼 もりいち,神奈川県横浜市青葉区美しが丘1-13-10
薄野 中村屋,神奈川県横浜市中区海岸通4-22
牛たん炭焼 利久 ウィング上大岡店,神奈川県横浜市港南区上大岡西1-6-1
タン次郎,神奈川県横浜市金沢区瀬戸10-1
鉄板Dining＆Lounge 恵手得亭,神奈川県横浜市中区太田町2-26-3
鶴見ホルモンセンター,神奈川県横浜市鶴見区鶴見中央4-1-2
鉄板バル HANANOKI,神奈川県横浜市港南区上大岡西1-4-16
創作フレンチ ショウズ鉄板ダイニング,神奈川県横浜市中区尾上町3-45-2
いちりき,神奈川県川崎市多摩区登戸新町226
新横浜プリンスホテル トップ オブ ヨコハマ 鉄板焼＆ダイニング,神奈川県横浜市港北区新横浜3-4
牛たんと和牛焼き 青葉 マルイファミリー溝口店,神奈川県川崎市高津区溝口1-4-1
ゴールデンもつ,神奈川県横浜市中区桜木町1-1
Coccinella,神奈川県横浜市中区相生町5-79-2
ダイニング・カフェ たん吉,神奈川県横浜市保土ケ谷区帷子町2-99-2
利久 ららぽーと横浜店,神奈川県横浜市都筑区池辺町4035-1
鉄板焼 華暦,神奈川県横浜市西区みなとみらい1-1-3
鉄板焼なか田,神奈川県横浜市中区太田町2-32-1
牛たん焼き 仙台辺見 本厚木ミロード店,神奈川県厚木市泉町1-1
大阪西成 もつ肉商店 横浜野毛店,神奈川県横浜市中区野毛町1-32
鉄板焼 福むろ,神奈川県横浜市中区常盤町5-72-1
高甲,神奈川県横浜市青葉区市ケ尾町1168-3
本元 野毛店,神奈川県横浜市中区花咲町1-28-1
宮地亭,神奈川県横浜市中区太田町5-63-2
鉄板焼き居酒屋みぞまる,神奈川県相模原市中央区中央3-8-1
大衆酒場 もつ焼きのやまちゃん,神奈川県相模原市南区相模大野3-3-2
ベイサイドグリルザバーベキュー三井アウトレットパーク横浜ベイサイド店,神奈川県横浜市金沢区白帆5-2
焼肉わいえふ,神奈川県高座郡寒川町倉見519
焼肉屋 豪気,神奈川県小田原市南鴨宮2-41-1
焼肉 ごっち,神奈川県川崎市中原区新城3-17-9
焼肉ざんまい 湘南台店,神奈川県藤沢市湘南台4-8-11
焼肉BEEFMAN（ビーフマン） 横浜,神奈川県横浜市中区相生町2-31
炭火焼肉波,神奈川県厚木市妻田南1-23-14
炭火焼肉 火焔山,神奈川県厚木市上荻野267-1
七輪炭火焼肉 味ん味ん 愛川店,神奈川県愛甲郡愛川町中津724
大阪焼肉・ホルモン ふたご 元住吉店,神奈川県川崎市中原区木月2-4-6
大津苑,神奈川県横須賀市大津町1-17-1
ビーフキッチン,神奈川県横浜市神奈川区鶴屋町2-15
錦水,神奈川県横浜市鶴見区生麦5-5-9
慶州苑,神奈川県川崎市幸区下平間48
金剛苑 川崎池上町店,神奈川県川崎市川崎区池上町1-8
牛力,神奈川県高座郡寒川町一之宮7-6-7
にんにくどお？ 柿生店,神奈川県川崎市麻生区上麻生5-38-5
美星屋,神奈川県川崎市川崎区浜町4-16-21
千翠,神奈川県三浦市南下浦町上宮田3124
丸子屋,神奈川県川崎市中原区新丸子町911-1
ホルモン道場 輪倶闇市 川崎2号店,神奈川県川崎市川崎区砂子2-8-5
肉の寅屋総本店,神奈川県藤沢市湘南台2-1-1
飛車角 横浜店,神奈川県横浜市西区北幸1-4-1
あづま商店,神奈川県横浜市神奈川区大口通130-10
ホルモン いち本,神奈川県厚木市愛甲1-2-5
ホルモン家族かつら,神奈川県大和市南林間2-13-1
大上ホルモン,神奈川県綾瀬市寺尾南3-16-14
TECO7,神奈川県藤沢市南藤沢20-4
もつ焼きごう,神奈川県横浜市港北区綱島西1-8-17
